country,countryLabel,capital,capitalLabel,coordinates,lon,lat
http://www.wikidata.org/entity/Q215,Eslovenia,http://www.wikidata.org/entity/Q437,Ljubljana,Point(14.516666666 46.05),14.516666666667,46.05
http://www.wikidata.org/entity/Q29,Espainia,http://www.wikidata.org/entity/Q2807,Madril,Point(-3.691944444 40.418888888),-3.6919444444444,40.418888888889
http://www.wikidata.org/entity/Q191,Estonia,http://www.wikidata.org/entity/Q1770,Tallinn,Point(24.745 59.437222222),24.745,59.437222222222
http://www.wikidata.org/entity/Q1050,Eswatini,http://www.wikidata.org/entity/Q101418,Lobamba,Point(31.166666666 -26.416666666),31.166666666667,-26.416666666667
http://www.wikidata.org/entity/Q1050,Eswatini,http://www.wikidata.org/entity/Q3904,Mbabane,Point(31.161666666 -26.320833333),31.161666666667,-26.320833333333
http://www.wikidata.org/entity/Q115,Etiopia,http://www.wikidata.org/entity/Q3624,Addis Abeba,Point(38.736944444 9.027222222),38.736944444444,9.0272222222222
http://www.wikidata.org/entity/Q712,Fiji,http://www.wikidata.org/entity/Q38807,Suva,Point(178.433333333 -18.133333333),178.43333333333,-18.133333333333
http://www.wikidata.org/entity/Q928,Filipinak,http://www.wikidata.org/entity/Q1461,Manila,Point(120.977222222 14.595833333),120.97722222222,14.595833333333
http://www.wikidata.org/entity/Q33,Finlandia,http://www.wikidata.org/entity/Q1757,Helsinki,Point(24.93417 60.17556),24.93417,60.17556
http://www.wikidata.org/entity/Q142,Frantzia,http://www.wikidata.org/entity/Q90,Paris,Point(2.351388888 48.856944444),2.3513888888889,48.8569
http://www.wikidata.org/entity/Q142,Frantzia,http://www.wikidata.org/entity/Q90,Paris,Point(2.351388888 48.856944444),2.3513888888889,48.856944444444
http://www.wikidata.org/entity/Q142,Frantzia,http://www.wikidata.org/entity/Q90,Paris,Point(2.351388888 48.856944444),2.3514,48.8569
http://www.wikidata.org/entity/Q142,Frantzia,http://www.wikidata.org/entity/Q90,Paris,Point(2.351388888 48.856944444),2.3514,48.856944444444
http://www.wikidata.org/entity/Q1000,Gabon,http://www.wikidata.org/entity/Q3825,Libreville,Point(9.4544 0.3901),9.4544,0.3901
http://www.wikidata.org/entity/Q1005,Gambia,http://www.wikidata.org/entity/Q3726,Banjul,Point(-16.5775 13.453055555),-16.5775,13.453055555556
http://www.wikidata.org/entity/Q230,Georgia,http://www.wikidata.org/entity/Q994,Tbilisi,Point(44.833611111 41.694166666),44.8336,41.694166666667
http://www.wikidata.org/entity/Q230,Georgia,http://www.wikidata.org/entity/Q994,Tbilisi,Point(44.833611111 41.694166666),44.8336,41.6942
http://www.wikidata.org/entity/Q230,Georgia,http://www.wikidata.org/entity/Q994,Tbilisi,Point(44.833611111 41.694166666),44.833611111111,41.694166666667
http://www.wikidata.org/entity/Q230,Georgia,http://www.wikidata.org/entity/Q994,Tbilisi,Point(44.833611111 41.694166666),44.833611111111,41.6942
http://www.wikidata.org/entity/Q117,Ghana,http://www.wikidata.org/entity/Q3761,Akkra,Point(-0.187 5.6037),-0.187,5.6037
http://www.wikidata.org/entity/Q1006,Ginea,http://www.wikidata.org/entity/Q3733,Konakry,Point(-13.712222222 9.509166666),-13.712222222222,9.5091666666667
http://www.wikidata.org/entity/Q1007,Ginea-Bissau,http://www.wikidata.org/entity/Q3739,Bissau,Point(-15.595555555 11.859166666),-15.595555555556,11.859166666667
http://www.wikidata.org/entity/Q769,Grenada,http://www.wikidata.org/entity/Q41547,Saint George's,Point(-61.741666666 12.044444444),-61.741666666667,12.044444444444
http://www.wikidata.org/entity/Q41,Grezia,http://www.wikidata.org/entity/Q1524,Atenas,Point(23.716111111 37.979444444),23.716111111111,37.979444444444
http://www.wikidata.org/entity/Q774,Guatemala,http://www.wikidata.org/entity/Q1555,Guatemalako Hiria,Point(-90.52525 14.609861111),-90.52525,14.609861111111
http://www.wikidata.org/entity/Q734,Guyana,http://www.wikidata.org/entity/Q10717,Georgetown,Point(-58.166666666 6.783333333),-58.166666666667,6.7833333333333
